Preço,Condomínio,Área,Quartos,Banheiros,Vagas,Abaixo $,Endereço,Descrição,0,1,2,3,4,Latitude,Longitude
420000,760,115,3,3,1,1,"Rua Bolívia, 387 - São Pedro, Belo Horizonte - MG","Apartamento com 3 Quartos à Venda, 115m²",Aceita animais,Cozinha americana,Salão de festas,Elevador,Portão eletrônico,-19.9552809,-43.9403754
2780000,1900,185,3,5,3,0,"Rua Gabriele D'Annunzio, 710 - Campo Belo, São Paulo - SP","Apartamento com 3 Quartos à Venda, 185m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-23.6187554,-46.6813545
152000,120,53,2,1,1,0,"Rua João José Martins, 1668 - Real Parque, São José - SC","Apartamento com 2 Quartos à Venda, 53m²",Piscina,Condomínio fechado,Aceita animais,Jardim,Área de serviço,-27.5629313,-48.6417826
795000,1640,106,3,2,2,0,"Rua Barão de Mesquita, 715 - Andaraí, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 106m²",Piscina,Mobiliado,Elevador,Condomínio fechado,Academia,-22.9255052,-43.249604
730000,1361,90,3,2,1,0,"Rua Mário Agostinelli, 105 - Jacarepaguá, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 90m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-22.9730536,-43.3821016
240000,312,54,2,1,1,0,"Avenida Sara Zirlis, 222 - Vila Lutecia, Santo André - SP","Apartamento com 2 Quartos à Venda, 54m²",Mobiliado,Churrasqueira,Elevador,Condomínio fechado,Academia,-23.693108,-46.5054401
990000,882,71,2,2,2,0,"Rua Antônio de Macedo Soares, 878 - Campo Belo, São Paulo - SP","Apartamento com 2 Quartos à Venda, 71m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.6245041,-46.6771915
1050000,675,104,3,2,1,0,"Rua 231, 10 - Meia Praia, Itapema - SC","Apartamento com 3 Quartos à Venda, 104m²",Aceita animais,Ar-condicionado,Elevador,,,-27.1258907,-48.6029861
455000,400,98,3,2,2,0,"Rua Doutor Castelo Branco, 45 - Centro, São Bernardo do Campo - SP","Apartamento com 3 Quartos à Venda, 98m²",Aceita animais,Elevador,Portão eletrônico,,,-23.7060832,-46.555932
410000,0,130,2,1,1,0,"Avenida João Neri de Carvalho, 794 - São Miguel Paulista, São Paulo - SP","Casa com 2 Quartos à Venda, 130m²",,,,,,-23.497924,-46.4382576
2350000,1614,310,5,7,3,0,"Estrada Vereador Alceu de Carvalho, 665 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ","Casa com 5 Quartos à Venda, 310m²",Piscina,Mobiliado,Churrasqueira,Condomínio fechado,Academia,-23.0210836,-43.4927775
1477000,794,80,2,3,2,0,"Rua George Ohm, 330 - Brooklin, São Paulo - SP","Apartamento com 2 Quartos à Venda, 80m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.6117158,-46.6933848
550000,850,68,3,2,2,0,"Rua Itapimirum, 624 - Vila Andrade, São Paulo - SP","Apartamento com 3 Quartos à Venda, 68m²",Piscina,Elevador,Condomínio fechado,Academia,Aceita animais,-23.6316405,-46.7336609
1100000,0,434,3,4,5,0,"Avenida Arnaldo Bohrer, 107 - Teresópolis, Porto Alegre - RS","Casa com 3 Quartos à Venda, 434m²",Mobiliado,Aceita animais,Ar-condicionado,Varanda gourmet,Closet,-30.080291,-51.2074522
1900000,470,800,6,8,4,1,"Alameda do Itabirito, 53 - Quintas da Jangada 2 Secao, Ibirité - MG","Casa de condomínio com 6 Quartos à Venda, 800m²",,,,,,-20.0233829,-44.0978482
580000,800,120,3,2,1,0,"Avenida Mauro Ramos, 747 - Centro, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 120m²",Mobiliado,Elevador,Condomínio fechado,Aceita animais,Ar-condicionado,-27.5847358,-48.5439768
620000,1100,40,1,1,1,0,"Rua da Passagem, 90 - Botafogo, Rio de Janeiro - RJ","Apartamento com Quarto à Venda, 40m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-22.9532922,-43.1818599
465000,527,34,1,1,0,0,"Avenida dos Carinás, 301 - Moema, São Paulo - SP","Apartamento com Quarto à Venda, 34m²",Piscina,Mobiliado,Churrasqueira,Elevador,Academia,-23.6133526,-46.6666826
640000,840,63,2,2,1,0,"Rua Turiassu, 464 - Perdizes, São Paulo - SP","Apartamento com 2 Quartos à Venda, 63m²",Elevador,Condomínio fechado,Aceita animais,Jardim,Portaria 24h,-23.5326258,-46.6713461
550000,650,102,3,2,1,0,"Avenida Professor Milton Leite da Costa, 339 - Canasvieiras, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 102m²",Aceita animais,Ar-condicionado,Mobiliado,Portão eletrônico,,-27.4300256,-48.4604294
1100000,953,98,3,3,1,0,"Rua Sá Ferreira, 227 - Copacabana, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 98m²",Churrasqueira,Elevador,Condomínio fechado,Jardim,Salão de festas,-22.9811942,-43.1925476
300000,0,110,4,3,1,0,"Rua Santo Antônio, 635 - Centro, São João de Meriti - RJ","Casa com 4 Quartos à Venda, 110m²",Aceita animais,,,,,-22.8019032,-43.3695696
1100000,1500,81,2,3,1,0,"Rua Marquesa de Santos, 77 - Laranjeiras, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 81m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-22.9303256,-43.1812518
180000,320,53,1,1,1,0,"Rua Comendador Otto Carlos Golanda, 627 - Cidade Ocian, Praia Grande - SP","Apartamento com Quarto à Venda, 53m²",Varanda,Aceita animais,Área de serviço,Sala grande,Janela de alumínio,-24.0266083,-46.4810185
895000,1400,151,3,2,3,0,"Praça Quinze de Novembro, 84 - Cambuí, Campinas - SP","Apartamento com 3 Quartos à Venda, 151m²",Elevador,Aceita animais,Ar-condicionado,Jardim,Salão de festas,-22.895172600000002,-47.057752312176845
440000,550,96,3,2,2,0,"Rua Ipiranga, 265 - Mangal, Sorocaba - SP","Apartamento com 3 Quartos à Venda, 96m²",Mobiliado,Churrasqueira,Elevador,Academia,Aceita animais,-23.5087808,-47.4718405
1380000,1200,100,3,4,2,0,"Rua Pássaros e Flores, 56 - Brooklin, São Paulo - SP","Apartamento com 3 Quartos à Venda, 100m²",Piscina,Churrasqueira,Elevador,Academia,Aceita animais,-23.62444,-46.6861144
2350000,1482,280,3,3,0,0,"Rua General Azevedo Pimentel, 07 - Copacabana, Rio de Janeiro - RJ","Cobertura com 3 Quartos à Venda, 280m²",,,,,,-22.9659828,-43.1805122
480000,520,69,2,2,1,0,"Rua Voluntário João dos Santos, 52 - Centro, Indaiatuba - SP","Apartamento com 2 Quartos à Venda, 69m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.0853264,-47.2187235
660000,1300,157,4,4,2,0,"Rua Abdo Ambuba, 223 - Vila Andrade, São Paulo - SP","Apartamento com 4 Quartos à Venda, 157m²",Piscina,Elevador,Aceita animais,Playground,Salão de festas,-23.6235972,-46.7375462
5900000,3431,490,4,4,2,0,"Avenida Rui Barbosa, 582 - Flamengo, Rio de Janeiro - RJ","Apartamento com 4 Quartos à Venda, 490m²",Elevador,Condomínio fechado,Aceita animais,Ar-condicionado,Área de serviço,-22.9433067,-43.1759096
236990,250,55,2,1,1,0,"Rua Antônio dos Santos Pinto, 65 - Santa Terezinha, São Bernardo do Campo - SP","Apartamento com 2 Quartos à Venda, 55m²",Portão eletrônico,Salão de festas,Elevador,Aceita animais,,-23.7225709,-46.5360102
370000,560,60,2,2,1,0,"Rua Comandante Rúbens Silva, 76 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ","Apartamento com 2 Quartos à Venda, 60m²",Piscina,Elevador,Academia,Aceita animais,Ar-condicionado,-22.9376169,-43.3372972
990000,693,175,4,4,3,0,"Rua Monsenhor Magaldi, 585 - Jardim Guanabara, Rio de Janeiro - RJ","Apartamento com 4 Quartos à Venda, 175m²",Elevador,Aceita animais,Jardim,Salão de festas,Bicicletário,-22.814276179688026,-43.201713561253115
190000,0,94,2,2,0,0,"Travessa Leda Silvares, 15 - Paraíso, São Gonçalo - RJ","Casa com 2 Quartos à Venda, 94m²",Aceita animais,,,,,-22.8314222,-43.0827034
870000,687,100,3,3,2,0,"Rua Carvalho de Freitas, 255 - Vila Andrade, São Paulo - SP","Apartamento com 3 Quartos à Venda, 100m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.630492699999998,-46.74012018949925
3800000,3060,640,11,5,0,0,"Rua Marechal Cantuária, 182 - Urca, Rio de Janeiro - RJ","Apartamento com 11 Quartos à Venda, 640m²",Aceita animais,Ar-condicionado,Closet,Portão eletrônico,,-22.9482836,-43.1639844
776000,0,240,3,3,2,0,"Rua Pinheiro Preto, 363 - Itaquera, São Paulo - SP","Casa com 3 Quartos à Venda, 240m²",Portão eletrônico,,,,,-23.545693,-46.4598808
898000,650,170,3,3,2,0,"Rua Galeão Coutinho, 654 - Itaguá, Ubatuba - SP","Apartamento com 3 Quartos à Venda, 170m²",Churrasqueira,Elevador,Condomínio fechado,Aceita animais,Espaço gourmet,-23.4573227,-45.0652018
800000,600,90,2,2,1,0,"Avenida Ipiranga, 998 - Centro, Petrópolis - RJ","Apartamento com 2 Quartos à Venda, 90m²",Condomínio fechado,Aceita animais,Ar-condicionado,Closet,Portão eletrônico,-22.5048662,-43.1783449
689000,1215,75,2,2,2,0,"Rua Álvares de Azevedo, 178 - Icaraí, Niterói - RJ","Apartamento com 2 Quartos à Venda, 75m²",Piscina,Elevador,Condomínio fechado,Academia,Aceita animais,-22.90147005,-43.1115951
485000,292,78,3,2,2,0,"Rua Heráclito de Sousa, 1336 - Monte Castelo, Teresina - PI","Apartamento com 3 Quartos à Venda, 78m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-5.1064717,-42.7977015
2789999,3200,233,4,6,3,0,"Avenida das Américas, 8888 - Barra da Tijuca, Rio de Janeiro - RJ","Apartamento com 4 Quartos à Venda, 233m²",Piscina,Mobiliado,Churrasqueira,Elevador,Condomínio fechado,-23.0001231,-43.3612494
499000,0,53,2,2,1,0,"Rua do Bosque, 980 - Barra Funda, São Paulo - SP","Apartamento com 2 Quartos à Venda, 53m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-23.5228885,-46.663911
400000,850,41,1,1,1,0,"Rua São José, 254 - Santo Amaro, São Paulo - SP","Apartamento com Quarto à Venda, 41m²",Mobiliado,Aceita animais,Elevador,Portaria 24h,,-23.6458844,-46.7010976
530000,396,76,3,2,2,0,"Avenida Senador Vergueiro, 1514 - Centro, São Bernardo do Campo - SP","Apartamento com 3 Quartos à Venda, 76m²",Churrasqueira,Elevador,Condomínio fechado,Academia,Aceita animais,-23.6847308,-46.5552504
395000,0,94,2,3,2,0,"Rua Inauini, 732 - Itaquera, São Paulo - SP","Sobrado com 2 Quartos à Venda, 94m²",,,,,,-23.5337867,-46.4355387
1050000,650,100,3,4,3,0,"Rua Aliança Liberal, 570 - Bela Aliança, São Paulo - SP","Apartamento com 3 Quartos à Venda, 100m²",Portaria 24h,Condomínio fechado,Portão eletrônico,,,-23.5222698,-46.7266022
1000000,1595,95,3,2,1,0,"Rua General Goes Monteiro, 8 - Botafogo, Rio de Janeiro - RJ","Apartamento com 3 Quartos à Venda, 95m²",Piscina,Churrasqueira,Elevador,Condomínio fechado,Academia,-22.9557833,-43.1799282
